#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
rdock_02_103 -11.456 -3.696 144.966 -143.470 5.731 -3.918 -5.905 4.458 0.072 1.176 8.000 -3.460
rdock_02_104 -12.651 -3.449 142.514 -140.353 4.887 -3.934 -7.379 3.799 0.150 -0.296 8.000 -3.454
rdock_02_105 -11.148 -3.052 139.740 -138.046 5.298 -3.803 -7.207 3.779 0.120 0.476 8.000 -2.812
rdock_02_106 -12.652 -3.743 141.165 -140.005 5.126 -3.977 -6.001 3.986 0.180 1.366 8.000 -3.716
rdock_02_107 -11.991 -3.910 145.422 -143.934 5.455 -3.806 -6.001 4.286 0.063 0.490 8.000 -3.612
rdock_02_108 -11.861 -3.584 139.353 -138.832 5.129 -3.625 -8.614 3.868 0.159 1.359 8.000 -3.465
rdock_02_109 -9.116 -2.555 144.129 -140.854 6.471 -3.920 -6.102 3.604 0.052 -0.904 8.000 -1.076
rdock_02_110 -9.401 -2.112 145.089 -142.018 6.219 -4.106 -4.948 3.267 -0.115 -0.571 8.000 -0.685
rdock_02_111 -9.332 -2.234 144.009 -139.674 4.462 -3.793 -4.618 3.443 -0.033 -1.254 8.000 -1.068
rdock_02_112 -10.709 -2.449 137.092 -134.998 4.933 -3.997 -5.847 3.609 0.040 -0.485 8.000 -1.809
rdock_02_113 -12.052 -3.542 141.427 -140.620 5.054 -3.733 -6.971 3.955 0.100 1.380 8.000 -3.643
rdock_02_114 -12.360 -3.442 143.725 -141.523 5.043 -3.905 -7.290 3.899 0.011 0.029 8.000 -3.487
rdock_02_115 -6.957 -3.896 151.130 -150.868 10.470 -3.768 -8.301 4.683 0.097 0.427 8.000 -0.343
rdock_02_116 -12.414 -4.038 142.417 -141.328 5.359 -3.840 -6.895 4.097 0.193 1.510 8.000 -3.788
rdock_02_117 -9.413 -2.717 139.809 -136.800 5.577 -3.893 -7.462 3.942 0.042 -0.347 8.000 -1.374
rdock_02_118 -7.773 -2.405 157.659 -153.166 7.048 -3.814 -7.407 3.719 0.052 0.442 8.000 -0.896
rdock_02_119 -10.171 -2.314 144.000 -138.867 5.383 -4.080 -4.930 3.470 -0.082 -2.868 8.000 -1.415
rdock_02_120 -9.487 -2.539 141.390 -137.963 5.236 -3.864 -7.964 3.787 0.022 -1.830 8.000 -0.913
rdock_02_121 -11.814 -3.895 140.842 -139.698 5.760 -3.825 -7.345 4.123 0.221 1.948 8.000 -3.709
rdock_02_122 -9.732 -2.514 137.635 -135.408 4.796 -3.893 -6.417 3.792 -0.035 -0.762 8.000 -0.958
rdock_02_123 -12.150 -3.451 142.631 -140.929 5.288 -3.883 -7.082 3.942 0.089 0.247 8.000 -3.436
rdock_02_124 -9.219 -2.310 138.656 -136.735 4.735 -3.858 -5.907 3.661 0.056 1.314 8.000 -1.025
rdock_02_125 -12.159 -3.916 142.563 -141.661 5.854 -3.832 -7.316 4.192 0.143 0.954 8.000 -3.738
rdock_02_126 -10.370 -3.306 141.829 -139.893 5.421 -3.904 -5.340 4.046 0.130 2.110 8.000 -2.470
rdock_02_127 -10.015 -2.566 139.171 -137.601 5.265 -3.838 -4.844 3.709 -0.115 0.204 8.000 -1.697
rdock_02_128 -11.589 -3.469 141.271 -139.960 5.408 -3.637 -8.725 3.924 0.089 0.461 8.000 -3.400
rdock_02_129 -8.968 -2.253 137.983 -135.406 5.025 -3.822 -7.743 3.587 0.018 -0.167 8.000 -0.609
rdock_02_130 -9.355 -2.452 137.683 -135.787 5.613 -4.007 -6.471 3.764 0.103 1.280 8.000 -1.202
rdock_02_131 -8.686 -1.977 141.174 -137.773 5.102 -3.955 -5.002 3.599 -0.101 -1.067 8.000 -0.315
rdock_02_132 -8.573 -2.155 160.332 -154.513 6.239 -4.037 -5.169 3.431 -0.010 0.065 8.000 -1.022
rdock_02_133 -10.704 -3.712 141.084 -138.254 5.784 -3.824 -6.421 4.425 0.123 0.303 8.000 -3.174
rdock_02_134 -11.486 -3.423 144.731 -142.718 5.946 -3.859 -6.315 4.200 -0.099 -0.488 8.000 -3.320
rdock_02_135 -12.742 -3.971 141.345 -140.421 5.313 -3.928 -6.926 4.004 0.190 1.322 8.000 -3.710
rdock_02_136 -9.669 -2.970 147.777 -142.742 5.289 -3.817 -5.005 3.962 -0.044 -0.836 8.000 -2.160
rdock_02_137 -10.541 -2.937 141.299 -139.024 5.488 -3.907 -7.805 3.934 -0.014 -0.838 8.000 -1.862
rdock_02_138 -10.593 -2.711 140.596 -139.230 4.832 -3.838 -5.665 3.654 -0.041 1.002 8.000 -2.009
rdock_02_139 -10.653 -3.512 142.317 -140.893 6.028 -3.892 -5.327 4.242 0.036 -0.299 8.000 -2.244
rdock_02_140 -11.006 -2.675 139.867 -137.317 4.982 -3.836 -6.989 3.481 0.099 -0.622 8.000 -2.310
rdock_02_141 -10.325 -3.045 140.256 -138.813 5.866 -3.782 -8.203 4.002 0.035 -0.966 8.000 -1.845
rdock_02_142 -9.200 -2.028 137.543 -135.898 5.221 -4.050 -5.509 3.468 -0.003 0.852 8.000 -0.463
rdock_02_143 -11.456 -3.573 142.710 -140.880 5.686 -3.785 -7.246 4.221 0.057 0.062 8.000 -3.381
rdock_02_144 -9.794 -2.306 138.102 -135.366 5.512 -4.074 -5.840 3.473 0.048 0.523 8.000 -1.324
rdock_02_145 -11.903 -3.665 143.268 -141.804 5.480 -3.816 -6.425 4.142 0.088 0.535 8.000 -3.564
rdock_02_146 -9.710 -2.217 138.741 -137.131 4.492 -3.932 -6.846 3.630 0.091 1.290 8.000 -1.078
